cluster	number of LBDs	DPS	PAB species	total species
cluster_876	16	76.92	10	13
cluster_877	16	26.67	4	15
cluster_878	16	6.25	1	16
cluster_879	16	0.00	0	16
cluster_880	16	0.00	0	16
cluster_881	16	0.00	0	15
cluster_882	16	0.00	0	16
cluster_883	16	85.71	12	14
cluster_884	16	15.38	2	13
cluster_885	16	43.75	7	16
cluster_886	16	31.25	5	16
cluster_887	16	53.33	8	15
cluster_888	16	50.00	7	14
cluster_889	16	73.33	11	15
cluster_890	16	0.00	0	7
cluster_891	16	0.00	0	15
cluster_892	16	0.00	0	15
cluster_893	16	0.00	0	16
cluster_894	16	9.09	1	11
cluster_895	16	0.00	0	13
cluster_896	16	12.50	2	16
cluster_897	16	12.50	2	16
cluster_898	16	46.67	7	15
cluster_899	16	7.14	1	14
cluster_900	16	25.00	4	16
cluster_901	16	50.00	6	12
cluster_902	16	20.00	2	10
cluster_903	16	7.69	1	13
cluster_904	16	6.25	1	16
cluster_905	16	16.67	2	12
cluster_906	16	0.00	0	16
cluster_907	16	6.25	1	16
cluster_908	16	0.00	0	7
cluster_909	16	0.00	0	7
cluster_910	16	0.00	0	12
cluster_911	16	20.00	3	15
cluster_912	16	0.00	0	16
cluster_913	16	6.25	1	16
cluster_914	16	6.67	1	15
cluster_915	15	0.00	0	6
cluster_916	15	46.67	7	15
cluster_917	15	0.00	0	15
cluster_918	15	46.67	7	15
cluster_919	15	30.77	4	13
cluster_920	15	0.00	0	12
cluster_921	15	20.00	3	15
cluster_922	15	0.00	0	13
cluster_923	15	0.00	0	15
cluster_924	15	0.00	0	14
cluster_925	15	0.00	0	15
cluster_926	15	0.00	0	11
cluster_927	15	60.00	9	15
cluster_928	15	100.00	14	14
cluster_929	15	0.00	0	15
cluster_930	15	0.00	0	15
cluster_931	15	6.67	1	15
cluster_932	15	93.33	14	15
cluster_933	15	0.00	0	15
cluster_934	15	0.00	0	15
cluster_935	15	78.57	11	14
cluster_936	15	0.00	0	13
cluster_937	15	6.67	1	15
cluster_938	15	0.00	0	15
cluster_939	15	0.00	0	15
cluster_940	15	18.18	2	11
cluster_941	15	13.33	2	15
cluster_942	15	13.33	2	15
cluster_943	15	76.92	10	13
cluster_944	15	26.67	4	15
cluster_945	15	57.14	8	14
cluster_946	15	0.00	0	15
cluster_947	15	0.00	0	15
cluster_948	15	13.33	2	15
cluster_949	15	7.14	1	14
cluster_950	15	0.00	0	15
cluster_951	15	0.00	0	10
cluster_952	15	0.00	0	14
cluster_953	15	0.00	0	10
cluster_954	15	0.00	0	11
cluster_955	15	0.00	0	9
cluster_956	15	14.29	2	14
cluster_957	15	13.33	2	15
cluster_958	15	9.09	1	11
cluster_959	15	6.67	1	15
cluster_960	15	0.00	0	13
cluster_961	14	35.71	5	14
cluster_962	14	50.00	7	14
cluster_963	14	10.00	1	10
cluster_964	14	0.00	0	12
cluster_965	14	0.00	0	14
cluster_966	14	15.38	2	13
cluster_967	14	0.00	0	10
cluster_968	14	42.86	6	14
cluster_969	14	14.29	2	14
cluster_970	14	0.00	0	13
cluster_971	14	21.43	3	14
