cluster	number of LBDs	DPS	PAB species	total species
cluster_2617	3	33.33	1	3
cluster_2618	3	33.33	1	3
cluster_2619	3	0.00	0	3
cluster_2620	3	33.33	1	3
cluster_2621	3	0.00	0	2
cluster_2622	3	0.00	0	1
cluster_2623	3	33.33	1	3
cluster_2624	3	100.00	3	3
cluster_2625	3	33.33	1	3
cluster_2626	3	0.00	0	3
cluster_2627	3	0.00	0	3
cluster_2628	3	33.33	1	3
cluster_2629	3	100.00	3	3
cluster_2630	3	0.00	0	3
cluster_2631	3	0.00	0	3
cluster_2632	3	0.00	0	3
cluster_2633	3	0.00	0	2
cluster_2634	3	50.00	1	2
cluster_2635	3	0.00	0	3
cluster_2636	3	33.33	1	3
cluster_2637	3	0.00	0	3
cluster_2638	3	0.00	0	3
cluster_2639	3	0.00	0	3
cluster_2640	3	0.00	0	3
cluster_2641	3	33.33	1	3
cluster_2642	3	0.00	0	3
cluster_2643	3	0.00	0	3
cluster_2644	3	0.00	0	3
cluster_2645	3	0.00	0	3
cluster_2646	3	33.33	1	3
cluster_2647	3	33.33	1	3
cluster_2648	3	0.00	0	3
cluster_2649	3	0.00	0	3
cluster_2650	3	0.00	0	3
cluster_2651	3	100.00	2	2
cluster_2652	3	0.00	0	3
cluster_2653	3	0.00	0	3
cluster_2654	3	0.00	0	2
cluster_2655	3	0.00	0	3
cluster_2656	3	0.00	0	3
cluster_2657	3	0.00	0	3
cluster_2658	3	0.00	0	3
cluster_2659	3	0.00	0	3
cluster_2660	3	0.00	0	3
cluster_2661	3	0.00	0	3
cluster_2662	3	0.00	0	3
cluster_2663	3	0.00	0	3
cluster_2664	3	0.00	0	3
cluster_2665	3	0.00	0	3
cluster_2666	3	0.00	0	3
cluster_2667	3	0.00	0	2
cluster_2668	3	66.67	2	3
cluster_2669	3	33.33	1	3
cluster_2670	3	0.00	0	3
cluster_2671	3	0.00	0	3
cluster_2672	3	0.00	0	3
cluster_2673	3	33.33	1	3
cluster_2674	3	0.00	0	3
cluster_2675	3	0.00	0	3
cluster_2676	3	0.00	0	3
cluster_2677	3	0.00	0	3
cluster_2678	3	0.00	0	3
cluster_2679	3	0.00	0	3
cluster_2680	3	0.00	0	3
cluster_2681	3	33.33	1	3
cluster_2682	3	0.00	0	3
cluster_2683	3	0.00	0	3
cluster_2684	3	0.00	0	3
cluster_2685	3	66.67	2	3
cluster_2686	3	100.00	2	2
cluster_2687	3	0.00	0	3
cluster_2688	3	0.00	0	3
cluster_2689	3	0.00	0	3
cluster_2690	3	0.00	0	2
cluster_2691	2	0.00	0	2
cluster_2692	2	0.00	0	2
cluster_2693	2	0.00	0	2
cluster_2694	2	0.00	0	2
cluster_2695	2	0.00	0	2
cluster_2696	2	0.00	0	2
cluster_2697	2	0.00	0	2
cluster_2698	2	0.00	0	1
cluster_2699	2	0.00	0	2
cluster_2700	2	0.00	0	2
cluster_2701	2	0.00	0	2
cluster_2702	2	0.00	0	2
cluster_2703	2	0.00	0	2
cluster_2704	2	0.00	0	2
cluster_2705	2	0.00	0	1
cluster_2706	2	0.00	0	2
cluster_2707	2	0.00	0	2
cluster_2708	2	0.00	0	2
cluster_2709	2	0.00	0	2
cluster_2710	2	50.00	1	2
cluster_2711	2	50.00	1	2
cluster_2712	2	0.00	0	2
cluster_2713	2	0.00	0	1
cluster_2714	2	0.00	0	2
cluster_2715	2	0.00	0	1
cluster_2716	2	0.00	0	2
cluster_2717	2	0.00	0	2
cluster_2718	2	0.00	0	2
cluster_2719	2	0.00	0	2
cluster_2720	2	0.00	0	2
cluster_2721	2	0.00	0	2
cluster_2722	2	0.00	0	2
cluster_2723	2	0.00	0	2
cluster_2724	2	0.00	0	1
cluster_2725	2	0.00	0	2
cluster_2726	2	0.00	0	2
cluster_2727	2	0.00	0	2
cluster_2728	2	0.00	0	2
cluster_2729	2	0.00	0	2
cluster_2730	2	0.00	0	2
cluster_2731	2	0.00	0	2
cluster_2732	2	0.00	0	2
cluster_2733	2	100.00	2	2
cluster_2734	2	0.00	0	2
cluster_2735	2	0.00	0	2
cluster_2736	2	0.00	0	2
cluster_2737	2	0.00	0	1
cluster_2738	2	0.00	0	2
cluster_2739	2	0.00	0	2
cluster_2740	2	0.00	0	2
cluster_2741	2	0.00	0	2
cluster_2742	2	0.00	0	2
cluster_2743	2	0.00	0	2
cluster_2744	2	0.00	0	1
cluster_2745	2	0.00	0	2
cluster_2746	2	0.00	0	2
cluster_2747	2	0.00	0	2
cluster_2748	2	0.00	0	2
cluster_2749	2	100.00	2	2
cluster_2750	2	0.00	0	2
cluster_2751	2	0.00	0	2
cluster_2752	2	0.00	0	2
cluster_2753	2	0.00	0	2
cluster_2754	2	0.00	0	2
cluster_2755	2	0.00	0	2
cluster_2756	2	50.00	1	2
cluster_2757	2	0.00	0	1
cluster_2758	2	0.00	0	2
cluster_2759	2	0.00	0	2
cluster_2760	2	0.00	0	2
cluster_2761	2	0.00	0	2
cluster_2762	2	0.00	0	2
cluster_2763	2	0.00	0	2
cluster_2764	2	0.00	0	2
cluster_2765	2	0.00	0	2
cluster_2766	2	0.00	0	2
cluster_2767	2	0.00	0	2
cluster_2768	2	0.00	0	2
cluster_2769	2	0.00	0	2
cluster_2770	2	0.00	0	2
cluster_2771	2	0.00	0	2
cluster_2772	2	50.00	1	2
cluster_2773	2	0.00	0	2
cluster_2774	2	0.00	0	2
cluster_2775	2	0.00	0	2
cluster_2776	2	0.00	0	2
cluster_2777	2	0.00	0	2
cluster_2778	2	0.00	0	2
cluster_2779	2	0.00	0	2
cluster_2780	2	0.00	0	2
cluster_2781	2	0.00	0	2
cluster_2782	2	0.00	0	1
cluster_2783	2	0.00	0	2
cluster_2784	2	0.00	0	2
cluster_2785	2	0.00	0	2
cluster_2786	2	0.00	0	2
cluster_2787	2	0.00	0	2
cluster_2788	2	0.00	0	2
cluster_2789	2	0.00	0	2
cluster_2790	2	0.00	0	2
cluster_2791	2	0.00	0	2
cluster_2792	2	0.00	0	2
cluster_2793	2	50.00	1	2
cluster_2794	2	50.00	1	2
cluster_2795	2	0.00	0	2
cluster_2796	2	0.00	0	1
cluster_2797	2	0.00	0	2
cluster_2798	2	0.00	0	2
cluster_2799	2	0.00	0	2
cluster_2800	2	0.00	0	2
cluster_2801	2	0.00	0	1
cluster_2802	2	0.00	0	1
cluster_2803	2	0.00	0	2
cluster_2804	2	0.00	0	2
cluster_2805	2	0.00	0	2
cluster_2806	2	0.00	0	2
cluster_2807	2	0.00	0	2
cluster_2808	2	0.00	0	2
cluster_2809	2	0.00	0	2
cluster_2810	2	0.00	0	2
cluster_2811	2	50.00	1	2
cluster_2812	2	50.00	1	2
cluster_2813	2	0.00	0	2
cluster_2814	2	0.00	0	2
cluster_2815	2	0.00	0	2
cluster_2816	2	0.00	0	2
cluster_2817	2	0.00	0	2
cluster_2818	2	50.00	1	2
cluster_2819	2	100.00	2	2
cluster_2820	2	50.00	1	2
cluster_2821	2	100.00	2	2
cluster_2822	2	0.00	0	2
cluster_2823	2	0.00	0	2
cluster_2824	2	0.00	0	2
cluster_2825	2	0.00	0	2
cluster_2826	2	0.00	0	2
cluster_2827	2	0.00	0	2
cluster_2828	2	0.00	0	2
cluster_2829	2	0.00	0	2
cluster_2830	2	0.00	0	2
cluster_2831	2	0.00	0	2
cluster_2832	2	0.00	0	2
cluster_2833	2	0.00	0	2
cluster_2834	2	0.00	0	2
cluster_2835	2	0.00	0	2
cluster_2836	2	0.00	0	1
cluster_2837	2	0.00	0	2
cluster_2838	2	0.00	0	1
cluster_2839	2	0.00	0	2
cluster_2840	2	0.00	0	1
cluster_2841	2	0.00	0	2
cluster_2842	2	0.00	0	2
cluster_2843	2	0.00	0	2
cluster_2844	2	0.00	0	2
cluster_2845	2	100.00	2	2
cluster_2846	2	0.00	0	2
cluster_2847	2	0.00	0	2
cluster_2848	2	0.00	0	2
cluster_2849	2	0.00	0	2
cluster_2850	2	0.00	0	2
cluster_2851	2	0.00	0	2
cluster_2852	2	0.00	0	2
cluster_2853	2	0.00	0	2
cluster_2854	2	0.00	0	2
cluster_2855	2	0.00	0	1
cluster_2856	2	0.00	0	1
cluster_2857	2	0.00	0	2
cluster_2858	2	0.00	0	1
cluster_2859	2	0.00	0	1
cluster_2860	2	0.00	0	2
cluster_2861	2	0.00	0	2
cluster_2862	2	0.00	0	2
cluster_2863	2	0.00	0	2
cluster_2864	2	100.00	2	2
cluster_2865	2	0.00	0	2
cluster_2866	2	0.00	0	2
cluster_2867	2	0.00	0	2
cluster_2868	2	0.00	0	2
cluster_2869	2	0.00	0	1
cluster_2870	2	0.00	0	2
cluster_2871	2	0.00	0	2
cluster_2872	2	0.00	0	2
cluster_2873	2	0.00	0	2
cluster_2874	2	0.00	0	2
cluster_2875	2	0.00	0	2
cluster_2876	2	50.00	1	2
cluster_2877	2	0.00	0	2
cluster_2878	2	0.00	0	2
cluster_2879	2	0.00	0	2
cluster_2880	2	0.00	0	2
cluster_2881	2	0.00	0	1
cluster_2882	2	0.00	0	2
cluster_2883	2	50.00	1	2
cluster_2884	2	0.00	0	2
cluster_2885	2	0.00	0	2
cluster_2886	2	0.00	0	2
cluster_2887	2	50.00	1	2
cluster_2888	2	0.00	0	2
cluster_2889	2	0.00	0	2
cluster_2890	2	0.00	0	2
cluster_2891	2	0.00	0	2
cluster_2892	2	0.00	0	2
cluster_2893	2	0.00	0	2
cluster_2894	2	0.00	0	2
cluster_2895	2	0.00	0	2
cluster_2896	2	0.00	0	2
cluster_2897	2	0.00	0	2
cluster_2898	2	0.00	0	2
cluster_2899	2	0.00	0	2
cluster_2900	2	0.00	0	2
cluster_2901	2	0.00	0	2
cluster_2902	2	0.00	0	2
cluster_2903	2	0.00	0	1
cluster_2904	2	0.00	0	1
cluster_2905	2	0.00	0	2
cluster_2906	2	0.00	0	2
cluster_2907	2	0.00	0	2
cluster_2908	2	0.00	0	2
cluster_2909	2	0.00	0	2
cluster_2910	2	50.00	1	2
cluster_2911	2	0.00	0	2
cluster_2912	2	0.00	0	2
cluster_2913	2	0.00	0	2
cluster_2914	2	0.00	0	2
cluster_2915	2	0.00	0	2
cluster_2916	2	0.00	0	2
cluster_2917	2	0.00	0	2
cluster_2918	2	0.00	0	2
cluster_2919	2	0.00	0	2
cluster_2920	2	0.00	0	2
cluster_2921	2	0.00	0	2
cluster_2922	2	0.00	0	2
cluster_2923	2	0.00	0	2
cluster_2924	2	0.00	0	2
cluster_2925	2	100.00	2	2
cluster_2926	2	0.00	0	2
cluster_2927	2	0.00	0	2
cluster_2928	2	0.00	0	1
cluster_2929	2	0.00	0	2
cluster_2930	2	50.00	1	2
cluster_2931	2	0.00	0	1
cluster_2932	2	0.00	0	2
cluster_2933	2	0.00	0	2
cluster_2934	2	0.00	0	2
cluster_2935	2	0.00	0	2
cluster_2936	2	100.00	1	1
cluster_2937	2	0.00	0	2
cluster_2938	2	0.00	0	2
cluster_2939	2	50.00	1	2
cluster_2940	2	0.00	0	2
cluster_2941	2	50.00	1	2
cluster_2942	2	0.00	0	2
cluster_2943	2	0.00	0	2
cluster_2944	2	50.00	1	2
cluster_2945	2	100.00	2	2
cluster_2946	2	0.00	0	2
cluster_2947	2	0.00	0	2
cluster_2948	2	0.00	0	2
cluster_2949	2	0.00	0	1
cluster_2950	2	0.00	0	1
cluster_2951	2	0.00	0	2
cluster_2952	2	0.00	0	2
cluster_2953	2	0.00	0	2
cluster_2954	2	0.00	0	1
cluster_2955	2	0.00	0	2
cluster_2956	2	0.00	0	2
cluster_2957	2	0.00	0	2
cluster_2958	2	0.00	0	2
cluster_2959	2	0.00	0	2
cluster_2960	2	0.00	0	2
cluster_2961	2	0.00	0	2
cluster_2962	2	0.00	0	2
cluster_2963	2	0.00	0	2
cluster_2964	2	0.00	0	2
cluster_2965	2	0.00	0	2
cluster_2966	2	0.00	0	2
cluster_2967	2	0.00	0	2
cluster_2968	2	0.00	0	2
cluster_2969	2	0.00	0	2
cluster_2970	2	0.00	0	2
cluster_2971	2	0.00	0	2
cluster_2972	2	0.00	0	2
cluster_2973	2	0.00	0	2
cluster_2974	2	0.00	0	2
cluster_2975	2	0.00	0	2
cluster_2976	2	0.00	0	2
cluster_2977	2	0.00	0	2
cluster_2978	2	0.00	0	2
cluster_2979	2	0.00	0	2
cluster_2980	2	0.00	0	2
cluster_2981	2	0.00	0	2
cluster_2982	2	0.00	0	2
cluster_2983	2	0.00	0	2
cluster_2984	2	0.00	0	2
cluster_2985	2	0.00	0	2
cluster_2986	2	0.00	0	2
cluster_2987	2	0.00	0	2
cluster_2988	2	0.00	0	2
cluster_2989	2	0.00	0	2
cluster_2990	2	0.00	0	2
cluster_2991	2	0.00	0	2
cluster_2992	2	0.00	0	2
cluster_2993	2	0.00	0	2
cluster_2994	2	0.00	0	1
cluster_2995	2	0.00	0	2
cluster_2996	2	0.00	0	2
cluster_2997	2	0.00	0	2
cluster_2998	2	0.00	0	1
cluster_2999	2	0.00	0	2
cluster_3000	2	0.00	0	2
cluster_3001	2	0.00	0	2
cluster_3002	2	0.00	0	1
cluster_3003	2	0.00	0	2
cluster_3004	2	50.00	1	2
cluster_3005	2	0.00	0	1
cluster_3006	2	0.00	0	2
cluster_3007	2	0.00	0	2
cluster_3008	2	0.00	0	1
cluster_3009	2	0.00	0	1
cluster_3010	2	0.00	0	2
cluster_3011	2	100.00	2	2
cluster_3012	2	50.00	1	2
cluster_3013	2	50.00	1	2
cluster_3014	2	0.00	0	1
cluster_3015	2	0.00	0	2
cluster_3016	2	0.00	0	2
cluster_3017	2	0.00	0	2
cluster_3018	2	0.00	0	2
cluster_3019	2	50.00	1	2
cluster_3020	2	100.00	2	2
cluster_3021	2	100.00	2	2
cluster_3022	2	0.00	0	2
cluster_3023	2	0.00	0	2
cluster_3024	2	0.00	0	2
cluster_3025	2	0.00	0	1
cluster_3026	2	0.00	0	1
cluster_3027	2	0.00	0	2
cluster_3028	2	0.00	0	2
cluster_3029	2	0.00	0	2
cluster_3030	2	0.00	0	2
cluster_3031	2	0.00	0	1
cluster_3032	2	0.00	0	2
cluster_3033	2	0.00	0	2
cluster_3034	2	0.00	0	2
cluster_3035	2	0.00	0	2
cluster_3036	2	50.00	1	2
cluster_3037	2	0.00	0	2
cluster_3038	2	0.00	0	2
cluster_3039	2	0.00	0	2
cluster_3040	2	0.00	0	2
cluster_3041	2	50.00	1	2
cluster_3042	2	0.00	0	2
cluster_3043	2	0.00	0	2
cluster_3044	2	0.00	0	2
cluster_3045	2	0.00	0	2
cluster_3046	2	0.00	0	1
cluster_3047	2	0.00	0	2
cluster_3048	2	0.00	0	2
cluster_3049	2	0.00	0	2
cluster_3050	2	0.00	0	2
cluster_3051	2	0.00	0	2
cluster_3052	2	50.00	1	2
cluster_3053	2	50.00	1	2
cluster_3054	2	0.00	0	2
cluster_3055	2	0.00	0	2
cluster_3056	2	0.00	0	2
cluster_3057	2	0.00	0	2
cluster_3058	2	0.00	0	2
cluster_3059	2	0.00	0	2
cluster_3060	2	0.00	0	1
cluster_3061	2	0.00	0	2
cluster_3062	2	100.00	2	2
cluster_3063	2	0.00	0	2
cluster_3064	2	0.00	0	1
cluster_3065	2	0.00	0	2
cluster_3066	2	0.00	0	2
cluster_3067	2	0.00	0	2
cluster_3068	2	0.00	0	2
cluster_3069	2	0.00	0	2
cluster_3070	2	0.00	0	2
cluster_3071	2	0.00	0	2
cluster_3072	2	0.00	0	2
cluster_3073	2	0.00	0	2
cluster_3074	2	0.00	0	1
cluster_3075	2	0.00	0	1
cluster_3076	2	0.00	0	1
cluster_3077	2	0.00	0	2
cluster_3078	2	0.00	0	2
cluster_3079	2	0.00	0	2
cluster_3080	2	0.00	0	2
cluster_3081	2	0.00	0	2
cluster_3082	2	0.00	0	1
cluster_3083	2	0.00	0	2
cluster_3084	2	0.00	0	2
cluster_3085	2	0.00	0	2
cluster_3086	2	0.00	0	2
cluster_3087	2	0.00	0	2
cluster_3088	2	0.00	0	2
cluster_3089	2	0.00	0	2
cluster_3090	2	0.00	0	2
cluster_3091	2	0.00	0	2
cluster_3092	2	0.00	0	2
cluster_3093	2	0.00	0	2
cluster_3094	2	0.00	0	1
cluster_3095	2	0.00	0	2
cluster_3096	2	0.00	0	2
cluster_3097	2	0.00	0	2
cluster_3098	2	0.00	0	2
cluster_3099	2	0.00	0	2
cluster_3100	2	0.00	0	1
cluster_3101	2	0.00	0	2
cluster_3102	2	0.00	0	2
cluster_3103	2	0.00	0	2
cluster_3104	2	0.00	0	2
cluster_3105	2	0.00	0	2
cluster_3106	2	0.00	0	2
cluster_3107	2	0.00	0	2
cluster_3108	2	0.00	0	2
cluster_3109	2	0.00	0	1
cluster_3110	2	0.00	0	2
cluster_3111	2	0.00	0	2
cluster_3112	2	0.00	0	2
cluster_3113	2	0.00	0	2
cluster_3114	2	0.00	0	2
cluster_3115	2	100.00	1	1
cluster_3116	2	0.00	0	1
cluster_3117	2	0.00	0	2
cluster_3118	2	0.00	0	2
cluster_3119	2	0.00	0	2
cluster_3120	2	0.00	0	1
cluster_3121	2	0.00	0	2
cluster_3122	2	0.00	0	2
cluster_3123	2	0.00	0	2
cluster_3124	2	0.00	0	2
cluster_3125	2	0.00	0	2
cluster_3126	2	0.00	0	2
cluster_3127	2	0.00	0	2
cluster_3128	2	0.00	0	2
cluster_3129	2	100.00	2	2
cluster_3130	2	100.00	2	2
cluster_3131	2	0.00	0	2
cluster_3132	2	50.00	1	2
cluster_3133	2	0.00	0	2
cluster_3134	2	0.00	0	2
cluster_3135	2	0.00	0	2
cluster_3136	2	0.00	0	2
cluster_3137	2	0.00	0	1
cluster_3138	2	0.00	0	2
cluster_3139	2	0.00	0	2
cluster_3140	2	0.00	0	2
cluster_3141	2	0.00	0	2
cluster_3142	2	0.00	0	2
cluster_3143	2	0.00	0	2
cluster_3144	2	0.00	0	2
cluster_3145	2	0.00	0	2
cluster_3146	2	0.00	0	2
cluster_3147	2	0.00	0	2
cluster_3148	2	0.00	0	2
cluster_3149	2	0.00	0	1
cluster_3150	2	0.00	0	2
cluster_3151	2	0.00	0	2
cluster_3152	2	0.00	0	2
cluster_3153	2	0.00	0	2
cluster_3154	2	0.00	0	2
cluster_3155	2	0.00	0	1
cluster_3156	2	0.00	0	2
cluster_3157	2	0.00	0	2
cluster_3158	2	0.00	0	2
cluster_3159	2	0.00	0	2
cluster_3160	2	0.00	0	2
cluster_3161	2	0.00	0	2
cluster_3162	2	0.00	0	2
cluster_3163	2	0.00	0	2
cluster_3164	2	0.00	0	1
cluster_3165	2	0.00	0	2
cluster_3166	2	0.00	0	2
cluster_3167	2	0.00	0	2
cluster_3168	2	0.00	0	2
cluster_3169	2	0.00	0	2
cluster_3170	2	0.00	0	2
cluster_3171	2	0.00	0	2
cluster_3172	2	0.00	0	2
cluster_3173	2	0.00	0	2
cluster_3174	2	50.00	1	2
cluster_3175	2	0.00	0	2
cluster_3176	2	0.00	0	2
cluster_3177	2	50.00	1	2
cluster_3178	2	0.00	0	2
cluster_3179	2	0.00	0	2
cluster_3180	2	0.00	0	2
cluster_3181	2	0.00	0	2
cluster_3182	2	0.00	0	2
cluster_3183	2	0.00	0	2
cluster_3184	2	0.00	0	2
cluster_3185	2	100.00	2	2
cluster_3186	2	0.00	0	2
cluster_3187	2	0.00	0	2
cluster_3188	2	50.00	1	2
cluster_3189	2	0.00	0	2
cluster_3190	2	0.00	0	1
cluster_3191	2	0.00	0	2
cluster_3192	2	0.00	0	2
cluster_3193	2	0.00	0	1
cluster_3194	2	0.00	0	2
cluster_3195	2	0.00	0	1
cluster_3196	2	0.00	0	2
cluster_3197	2	50.00	1	2
cluster_3198	2	0.00	0	2
cluster_3199	2	0.00	0	2
cluster_3200	2	0.00	0	2
cluster_3201	2	0.00	0	2
cluster_3202	2	0.00	0	2
cluster_3203	2	0.00	0	2
cluster_3204	2	0.00	0	2
cluster_3205	2	50.00	1	2
cluster_3206	2	0.00	0	2
cluster_3207	2	0.00	0	2
cluster_3208	2	100.00	1	1
cluster_3209	2	0.00	0	2
cluster_3210	2	0.00	0	2
cluster_3211	2	50.00	1	2
cluster_3212	2	0.00	0	1
cluster_3213	2	0.00	0	1
cluster_3214	2	0.00	0	2
cluster_3215	2	0.00	0	2
cluster_3216	2	0.00	0	2
cluster_3217	2	0.00	0	2
cluster_3218	2	0.00	0	2
cluster_3219	2	0.00	0	2
cluster_3220	2	0.00	0	1
cluster_3221	2	0.00	0	2
cluster_3222	2	0.00	0	2
cluster_3223	2	0.00	0	1
cluster_3224	2	0.00	0	2
cluster_3225	2	0.00	0	2
cluster_3226	2	0.00	0	2
cluster_3227	2	0.00	0	2
cluster_3228	2	0.00	0	2
cluster_3229	2	0.00	0	2
cluster_3230	2	0.00	0	2
cluster_3231	2	50.00	1	2
cluster_3232	2	50.00	1	2
cluster_3233	2	50.00	1	2
cluster_3234	2	0.00	0	2
cluster_3235	2	0.00	0	2
cluster_3236	2	0.00	0	2
cluster_3237	2	0.00	0	2
cluster_3238	2	0.00	0	2
cluster_3239	2	0.00	0	2
cluster_3240	2	0.00	0	2
cluster_3241	2	0.00	0	2
cluster_3242	2	0.00	0	2
cluster_3243	2	0.00	0	2
cluster_3244	2	0.00	0	2
cluster_3245	2	0.00	0	2
cluster_3246	2	0.00	0	2
cluster_3247	2	0.00	0	2
cluster_3248	2	0.00	0	1
cluster_3249	2	0.00	0	2
cluster_3250	2	0.00	0	2
cluster_3251	2	0.00	0	2
cluster_3252	2	0.00	0	2
cluster_3253	2	0.00	0	2
cluster_3254	2	0.00	0	1
cluster_3255	2	0.00	0	2
cluster_3256	2	0.00	0	2
cluster_3257	2	0.00	0	2
cluster_3258	2	0.00	0	2
cluster_3259	2	0.00	0	2
cluster_3260	2	0.00	0	2
cluster_3261	2	0.00	0	2
cluster_3262	2	0.00	0	2
cluster_3263	2	0.00	0	2
cluster_3264	2	0.00	0	2
cluster_3265	2	0.00	0	2
cluster_3266	2	50.00	1	2
cluster_3267	2	0.00	0	2
cluster_3268	2	0.00	0	2
cluster_3269	2	0.00	0	2
cluster_3270	2	0.00	0	2
cluster_3271	2	50.00	1	2
cluster_3272	2	0.00	0	1
cluster_3273	2	0.00	0	2
cluster_3274	2	0.00	0	2
cluster_3275	2	100.00	2	2
cluster_3276	2	0.00	0	1
cluster_3277	2	0.00	0	2
cluster_3278	2	50.00	1	2
cluster_3279	2	50.00	1	2
cluster_3280	2	0.00	0	2
cluster_3281	2	50.00	1	2
cluster_3282	2	0.00	0	2
cluster_3283	2	0.00	0	2
cluster_3284	2	100.00	2	2
cluster_3285	2	0.00	0	2
cluster_3286	2	0.00	0	2
cluster_3287	2	0.00	0	2
cluster_3288	2	0.00	0	2
cluster_3289	2	0.00	0	2
cluster_3290	2	0.00	0	1
cluster_3291	2	0.00	0	2
cluster_3292	2	0.00	0	1
cluster_3293	2	0.00	0	2
cluster_3294	2	0.00	0	2
cluster_3295	2	0.00	0	2
cluster_3296	2	0.00	0	2
cluster_3297	2	100.00	2	2
cluster_3298	2	50.00	1	2
cluster_3299	2	0.00	0	2
cluster_3300	2	50.00	1	2
cluster_3301	2	0.00	0	2
cluster_3302	2	50.00	1	2
cluster_3303	2	0.00	0	2
cluster_3304	2	0.00	0	2
cluster_3305	2	0.00	0	2
cluster_3306	2	0.00	0	2
cluster_3307	2	0.00	0	2
cluster_3308	1	0.00	0	1
cluster_3309	1	0.00	0	1
cluster_3310	1	0.00	0	1
cluster_3311	1	0.00	0	1
cluster_3312	1	0.00	0	1
cluster_3313	1	0.00	0	1
cluster_3314	1	0.00	0	1
cluster_3315	1	0.00	0	1
cluster_3316	1	0.00	0	1
cluster_3317	1	0.00	0	1
cluster_3318	1	0.00	0	1
cluster_3319	1	0.00	0	1
cluster_3320	1	0.00	0	1
cluster_3321	1	0.00	0	1
cluster_3322	1	0.00	0	1
cluster_3323	1	0.00	0	1
cluster_3324	1	0.00	0	1
cluster_3325	1	0.00	0	1
cluster_3326	1	0.00	0	1
cluster_3327	1	0.00	0	1
cluster_3328	1	0.00	0	1
cluster_3329	1	100.00	1	1
cluster_3330	1	0.00	0	1
cluster_3331	1	0.00	0	1
cluster_3332	1	0.00	0	1
cluster_3333	1	0.00	0	1
cluster_3334	1	0.00	0	1
cluster_3335	1	0.00	0	1
cluster_3336	1	0.00	0	1
cluster_3337	1	0.00	0	1
cluster_3338	1	0.00	0	1
cluster_3339	1	0.00	0	1
cluster_3340	1	0.00	0	1
cluster_3341	1	0.00	0	1
cluster_3342	1	0.00	0	1
cluster_3343	1	0.00	0	1
cluster_3344	1	0.00	0	1
cluster_3345	1	0.00	0	1
cluster_3346	1	0.00	0	1
cluster_3347	1	0.00	0	1
cluster_3348	1	0.00	0	1
cluster_3349	1	0.00	0	1
cluster_3350	1	0.00	0	1
cluster_3351	1	0.00	0	1
cluster_3352	1	0.00	0	1
cluster_3353	1	0.00	0	1
cluster_3354	1	0.00	0	1
cluster_3355	1	0.00	0	1
cluster_3356	1	0.00	0	1
cluster_3357	1	0.00	0	1
cluster_3358	1	0.00	0	1
cluster_3359	1	0.00	0	1
cluster_3360	1	0.00	0	1
cluster_3361	1	0.00	0	1
cluster_3362	1	0.00	0	1
cluster_3363	1	0.00	0	1
cluster_3364	1	0.00	0	1
cluster_3365	1	0.00	0	1
cluster_3366	1	0.00	0	1
cluster_3367	1	0.00	0	1
cluster_3368	1	0.00	0	1
cluster_3369	1	0.00	0	1
cluster_3370	1	0.00	0	1
cluster_3371	1	0.00	0	1
cluster_3372	1	0.00	0	1
cluster_3373	1	0.00	0	1
cluster_3374	1	0.00	0	1
cluster_3375	1	0.00	0	1
cluster_3376	1	0.00	0	1
cluster_3377	1	0.00	0	1
cluster_3378	1	0.00	0	1
cluster_3379	1	0.00	0	1
cluster_3380	1	0.00	0	1
cluster_3381	1	0.00	0	1
cluster_3382	1	0.00	0	1
cluster_3383	1	0.00	0	1
cluster_3384	1	0.00	0	1
cluster_3385	1	0.00	0	1
cluster_3386	1	100.00	1	1
cluster_3387	1	0.00	0	1
cluster_3388	1	0.00	0	1
cluster_3389	1	0.00	0	1
cluster_3390	1	0.00	0	1
cluster_3391	1	0.00	0	1
cluster_3392	1	0.00	0	1
cluster_3393	1	0.00	0	1
cluster_3394	1	0.00	0	1
cluster_3395	1	0.00	0	1
cluster_3396	1	0.00	0	1
cluster_3397	1	0.00	0	1
cluster_3398	1	0.00	0	1
cluster_3399	1	0.00	0	1
cluster_3400	1	0.00	0	1
cluster_3401	1	0.00	0	1
cluster_3402	1	0.00	0	1
cluster_3403	1	0.00	0	1
cluster_3404	1	0.00	0	1
cluster_3405	1	0.00	0	1
cluster_3406	1	0.00	0	1
cluster_3407	1	0.00	0	1
cluster_3408	1	0.00	0	1
cluster_3409	1	0.00	0	1
cluster_3410	1	0.00	0	1
cluster_3411	1	100.00	1	1
cluster_3412	1	100.00	1	1
cluster_3413	1	0.00	0	1
cluster_3414	1	0.00	0	1
cluster_3415	1	0.00	0	1
cluster_3416	1	0.00	0	1
cluster_3417	1	0.00	0	1
cluster_3418	1	0.00	0	1
cluster_3419	1	0.00	0	1
cluster_3420	1	0.00	0	1
cluster_3421	1	0.00	0	1
cluster_3422	1	0.00	0	1
cluster_3423	1	0.00	0	1
cluster_3424	1	0.00	0	1
cluster_3425	1	0.00	0	1
cluster_3426	1	0.00	0	1
cluster_3427	1	0.00	0	1
cluster_3428	1	0.00	0	1
cluster_3429	1	0.00	0	1
cluster_3430	1	0.00	0	1
cluster_3431	1	0.00	0	1
cluster_3432	1	0.00	0	1
cluster_3433	1	0.00	0	1
cluster_3434	1	0.00	0	1
cluster_3435	1	0.00	0	1
cluster_3436	1	0.00	0	1
cluster_3437	1	0.00	0	1
cluster_3438	1	0.00	0	1
